,harmonic_centrality,eigenvector_centrality,betweenness_centrality,closeness_centrality,load_centrality,katz_centrality,pagerank,information_centrality,global_reaching_centrality
0,GPAMm_hs,EX_retnglc_e,r0702,CRNtx,r0702,GLCSGLT1le,r1095,EX_3aib_e,10FTHF5GLUtl
1,CRNtx,EX_txa2_e,RE3308C,RE3160R,RE0576C,ASCBSVCTtc,r1112,EX_vitd2_e,r2042
2,GLYATm,EX_bz_e,RE3502C,RE3146R,RE3597C,GALSGLT1le,r1346,EX_aldstrn_e,r2040
3,RE3146R,EX_6htststerone_e,PPDOy,TETPENT6COAtx,RE2410C,BTNt3i,r1341,EX_fucfuc12gal14acglcgalgluside_hs_e,r2039
4,RE3160R,EX_hestratriol_e,RE2633C,GPAMm_hs,RE0574C,BTNt3ile,r1113,EX_fucfucfucgalacglcgal14acglcgalgluside_hs_e,r2038
5,r0196,EX_ebastine_e,RE3310C,DPMVDx,RE2633C,PNTOt5le,r1099,EX_fucfuc132galacglcgal14acglcgalgluside_hs_e,r2037
6,TETPENT6COAtx,EX_ebastineoh_e,DEDOLR_U,GLYATm,RE0566C,PNTOt5,r1100,EX_fucgal14acglcgalgluside_hs_e,r2036
7,CSNAT2m,EX_xoltri24_e,RE0566C,EX_Rtotal_e,RE2911C,NaKt,r1092,EX_fucgalgbside_hs_e,r2035
8,r1397,EX_xoltri25_e,DEDOLR_L,EX_tetpent3_e,RE3627C,LIPOti,r1094,EX_fucacgalfucgalacglcgalgluside_hs_e,r2034
9,CSNATm,EX_dca_e,RE2410C,EX_tethex3_e,RE3596C,CBPS,r1101,EX_fucgalfucgalacglcgalgluside_hs_e,r2032
10,ACACT10m,EX_25hvitd2_e,RE0574C,EX_tetpent6_e,ALR3,NAHCO3_HCLt,r1102,EX_fucacngalacglcgalgluside_hs_e,r2031
11,r0432,EX_4mptnl_e,RE3147C,EX_eicostet_e,RE3502C,H2CO3D,r1093,EX_fucacngal14acglcgalgluside_hs_e,r2030
12,r0287,EX_crtstrn_e,RE3596C,r0196,PPDOy,PIt2m,r1103,EX_fuc13galacglcgal14acglcgalgluside_hs_e,r2029
13,C160CPT2,EX_vitd2_e,RE0576C,EX_pi_e,RE1829C,ASNS1,r1104,EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e,r2028
14,TTDCPT2,EX_2425dhvitd2_e,RE1954C,CSNAT2m,RE0581C,NAt3_1g,r1105,EX_fucfucgalacglcgalgluside_hs_e,r2027
15,C161CPT22,EX_aldstrn_e,RE1829C,r1397,RE3147C,r1294,r1339,EX_fuc14galacglcgalgluside_hs_e,r2026
16,r0636,EX_3aib_e,ALR3,ACACT10m,RE2252C,r1402,r1098,EX_gq1b_hs_e,r2024
17,C4CRNCPT2,DM_mem2emgacpail_prot_hs_r,RE3597C,CSNATm,RE1827C,r1094,r1344,EX_gd1c_hs_e,r2023
18,r1399,RETNGLCt,RE0581C,r0287,RE3308C,r1093,r1345,EX_gt1a_hs_e,r2022
19,r1395,sink_pre_prot_r,RE1827C,r0432,RE3310C,r1101,r1335,EX_gp1calpha_hs_e,r2021
